127.0.0.1 - - [30/Sep/2017:19:31:41 -0300] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [30/Sep/2017:19:31:47 -0300] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [30/Sep/2017:19:31:47 -0300] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [30/Sep/2017:19:31:47 -0300] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [30/Sep/2017:19:31:47 -0300] "GET /apple-touch-icon.png HTTP/1.1" 404 1034
0:0:0:0:0:0:0:1 - - [30/Sep/2017:19:31:50 -0300] "GET /aps/home HTTP/1.1" 404 1010
0:0:0:0:0:0:0:1 - - [30/Sep/2017:19:31:51 -0300] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [30/Sep/2017:19:31:53 -0300] "GET /finalProject HTTP/1.1" 404 1018
0:0:0:0:0:0:0:1 - - [30/Sep/2017:19:31:53 -0300] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [30/Sep/2017:19:31:53 -0300] "GET /apple-touch-icon.png HTTP/1.1" 404 1034
0:0:0:0:0:0:0:1 - - [30/Sep/2017:19:32:00 -0300] "GET /finalProject HTTP/1.1" 404 1018
0:0:0:0:0:0:0:1 - - [30/Sep/2017:19:32:02 -0300] "GET /finalproject HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Sep/2017:19:32:02 -0300] "GET /finalproject/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Sep/2017:19:32:03 -0300] "GET /finalproject/login HTTP/1.1" 200 3079
0:0:0:0:0:0:0:1 - - [30/Sep/2017:19:32:03 -0300] "GET /finalproject/static/js/materialize.js HTTP/1.1" 200 326348
0:0:0:0:0:0:0:1 - - [30/Sep/2017:19:32:03 -0300] "GET /finalproject/static/css/materialize.css HTTP/1.1" 200 164236
0:0:0:0:0:0:0:1 - - [30/Sep/2017:19:32:03 -0300] "GET /finalproject/static/js/jquery-2.1.1.min.js HTTP/1.1" 200 84245
